buckfast 1.3.2                                                                                      ,

*HEADING,
Buckfast example - Pipeline A - Scenario 1                                                          ,

*SIMULATION,
number of simulations,              100000,

*WATER,
temperature of sea-water (°C),        4.0000000000,,
density of sea-water (kg.m-3),     1025.0000000000,,

*AXIALFRICTION,                   1,,
distribution,LOGNORMAL           ,,
mean,        0.5170000000,,
standard deviation,        0.1370000000,,

*SINGLE,                   1,,
diameter (mm),      273.1000000000,,
wall thickness (mm),       25.4000000000,,
density of steel (kg.m-3),     7850.0000000000,,
elastic modulus (N.mm-2),   207000.0000000000,,
Poisson's ratio,        0.3000000000,,
coefficient of thermal expansion (°C-1),        0.0000117000,,
thickness of coating (mm),      300.0000000000,                   1,
density of coating (kg.m-3),      990.5815642546,                   1,
density of contents during operation (kg.m-3),      799.9858676179,,
density of contents during installation (kg.m-3),        1.3136056940,,

length of pipeline (m),    20000.0000000000,,



number of simulations,              100000,
number of simulations with one or more buckles,              100000,
probability of one or more buckles,    0.1000000000E+01,
                    ,
                    ,mean,standard deviation,minimum,maximum,
number of buckles,    0.7195110000E+01,    0.1829781978E+01,                   2,                  19,

element,centroid of element,number of simulations with a buckle,probability of buckling,probability of not buckling,mean of the VAS,standard deviation of the VAS,minimum VAS,maximum VAS,
,(m),,,,(m),(m),(m),(m),
                 141,    13950.0000000000,                4071,    0.4071000000E-01,    0.9592900000E+00,    0.2460844592E+04,    0.7548255179E+03,    0.8000000000E+03,    0.6361006192E+04,
                 142,    14050.0000000000,                4017,    0.4017000000E-01,    0.9598300000E+00,    0.2464716057E+04,    0.7491467233E+03,    0.7000000000E+03,    0.6410588868E+04,
                 143,    14150.0000000000,                4167,    0.4167000000E-01,    0.9583300000E+00,    0.2453605777E+04,    0.7553350030E+03,    0.8000000000E+03,    0.5614744094E+04,
                 144,    14250.0000000000,                4075,    0.4075000000E-01,    0.9592500000E+00,    0.2458484697E+04,    0.7673839623E+03,    0.6500000000E+03,    0.5961207282E+04,
                 145,    14350.0000000000,                4134,    0.4134000000E-01,    0.9586600000E+00,    0.2449271185E+04,    0.7674439824E+03,    0.8500000000E+03,    0.6070695213E+04,
                 146,    14450.0000000000,                4111,    0.4111000000E-01,    0.9588900000E+00,    0.2460540314E+04,    0.7730281924E+03,    0.8000000000E+03,    0.6443663363E+04,
                 147,    14550.0000000000,                4015,    0.4015000000E-01,    0.9598500000E+00,    0.2461699739E+04,    0.7738382747E+03,    0.9000000000E+03,    0.6308302846E+04,
                 148,    14650.0000000000,                4206,    0.4206000000E-01,    0.9579400000E+00,    0.2444842944E+04,    0.7689991556E+03,    0.7000000000E+03,    0.6023863248E+04,
                 149,    14750.0000000000,                4008,    0.4008000000E-01,    0.9599200000E+00,    0.2447511776E+04,    0.7831575857E+03,    0.6500000000E+03,    0.6799789292E+04,
                 150,    14850.0000000000,                4158,    0.4158000000E-01,    0.9584200000E+00,    0.2466462690E+04,    0.7808549161E+03,    0.8500000000E+03,    0.6139024889E+04,
                 151,    14950.0000000000,                4082,    0.4082000000E-01,    0.9591800000E+00,    0.2455328275E+04,    0.7740400825E+03,    0.8000000000E+03,    0.6051460536E+04,
                 152,    15050.0000000000,                4114,    0.4114000000E-01,    0.9588600000E+00,    0.2469778214E+04,    0.7836713712E+03,    0.7000000000E+03,    0.6456206887E+04,
                 153,    15150.0000000000,                3958,    0.3958000000E-01,    0.9604200000E+00,    0.2462430559E+04,    0.7823440687E+03,    0.6500000000E+03,    0.6384119292E+04,
                 154,    15250.0000000000,                3944,    0.3944000000E-01,    0.9605600000E+00,    0.2445184907E+04,    0.7682719277E+03,    0.7500000000E+03,    0.5964969905E+04,
                 155,    15350.0000000000,                3954,    0.3954000000E-01,    0.9604600000E+00,    0.2478814866E+04,    0.7813795149E+03,    0.9500000000E+03,    0.5777649090E+04,
                 156,    15450.0000000000,                4078,    0.4078000000E-01,    0.9592200000E+00,    0.2475586237E+04,    0.7730322711E+03,    0.8000000000E+03,    0.5817228688E+04,
                 157,    15550.0000000000,                4077,    0.4077000000E-01,    0.9592300000E+00,    0.2483132795E+04,    0.7795091160E+03,    0.7000000000E+03,    0.6573000321E+04,
                 158,    15650.0000000000,                4138,    0.4138000000E-01,    0.9586200000E+00,    0.2457077796E+04,    0.7641797713E+03,    0.8000000000E+03,    0.7608829441E+04,
                 159,    15750.0000000000,                4112,    0.4112000000E-01,    0.9588800000E+00,    0.2466036695E+04,    0.7729284269E+03,    0.7500000000E+03,    0.5331872432E+04,
                 160,    15850.0000000000,                4064,    0.4064000000E-01,    0.9593600000E+00,    0.2487325297E+04,    0.7721132931E+03,    0.9000000000E+03,    0.5226986309E+04,
                 161,    15950.0000000000,                4145,    0.4145000000E-01,    0.9585500000E+00,    0.2467430485E+04,    0.7593119828E+03,    0.8000000000E+03,    0.5794658011E+04,
                 162,    16050.0000000000,                4031,    0.4031000000E-01,    0.9596900000E+00,    0.2483979088E+04,    0.7494242867E+03,    0.5000000000E+03,    0.5563910941E+04,
                 163,    16150.0000000000,                4063,    0.4063000000E-01,    0.9593700000E+00,    0.2504583937E+04,    0.7645723738E+03,    0.6500000000E+03,    0.5890136163E+04,
                 164,    16250.0000000000,                4023,    0.4023000000E-01,    0.9597700000E+00,    0.2476135477E+04,    0.7495456438E+03,    0.8500000000E+03,    0.5494249563E+04,
                 165,    16350.0000000000,                4073,    0.4073000000E-01,    0.9592700000E+00,    0.2482713684E+04,    0.7354229230E+03,    0.7000000000E+03,    0.5531329194E+04,
                 166,    16450.0000000000,                4140,    0.4140000000E-01,    0.9586000000E+00,    0.2491868708E+04,    0.7146439270E+03,    0.7500000000E+03,    0.5930189857E+04,
                 167,    16550.0000000000,                4005,    0.4005000000E-01,    0.9599500000E+00,    0.2488205284E+04,    0.7117824047E+03,    0.8500000000E+03,    0.5764921604E+04,
                 168,    16650.0000000000,                4118,    0.4118000000E-01,    0.9588200000E+00,    0.2488066648E+04,    0.6863002848E+03,    0.8000000000E+03,    0.5408563514E+04,
                 169,    16750.0000000000,                4058,    0.4058000000E-01,    0.9594200000E+00,    0.2447325852E+04,    0.6823796520E+03,    0.7000000000E+03,    0.6304262630E+04,
                 170,    16850.0000000000,                4120,    0.4120000000E-01,    0.9588000000E+00,    0.2457303161E+04,    0.6590355715E+03,    0.7000000000E+03,    0.4982745338E+04,
                 171,    16950.0000000000,                4158,    0.4158000000E-01,    0.9584200000E+00,    0.2452840956E+04,    0.6432156946E+03,    0.8000000000E+03,    0.5575480729E+04,
                 172,    17050.0000000000,                4183,    0.4183000000E-01,    0.9581700000E+00,    0.2445751180E+04,    0.6062727375E+03,    0.7000000000E+03,    0.4941129776E+04,
                 173,    17150.0000000000,                4279,    0.4279000000E-01,    0.9572100000E+00,    0.2434490184E+04,    0.6017964321E+03,    0.7500000000E+03,    0.4871221309E+04,
                 174,    17250.0000000000,                4238,    0.4238000000E-01,    0.9576200000E+00,    0.2402274225E+04,    0.5931244771E+03,    0.7000000000E+03,    0.5258562650E+04,
                 175,    17350.0000000000,                4112,    0.4112000000E-01,    0.9588800000E+00,    0.2385641278E+04,    0.5612857479E+03,    0.7500000000E+03,    0.5010120751E+04,
                 176,    17450.0000000000,                4317,    0.4317000000E-01,    0.9568300000E+00,    0.2329702908E+04,    0.5447403424E+03,    0.7500000000E+03,    0.5121614961E+04,
                 177,    17550.0000000000,                4294,    0.4294000000E-01,    0.9570600000E+00,    0.2317594410E+04,    0.5272162442E+03,    0.9000000000E+03,    0.4600743870E+04,
                 178,    17650.0000000000,                4406,    0.4406000000E-01,    0.9559400000E+00,    0.2292480800E+04,    0.5167053474E+03,    0.7000000000E+03,    0.4447873235E+04,
                 179,    17750.0000000000,                4344,    0.4344000000E-01,    0.9565600000E+00,    0.2243947561E+04,    0.4940882857E+03,    0.8500000000E+03,    0.5087980623E+04,
                 180,    17850.0000000000,                4382,    0.4382000000E-01,    0.9561800000E+00,    0.2182615625E+04,    0.4874089893E+03,    0.7500000000E+03,    0.4392982825E+04,
                 181,    17950.0000000000,                4358,    0.4358000000E-01,    0.9564200000E+00,    0.2132928201E+04,    0.4690676316E+03,    0.7000000000E+03,    0.4912888946E+04,
                 182,    18050.0000000000,                4287,    0.4287000000E-01,    0.9571300000E+00,    0.2086916170E+04,    0.4587927903E+03,    0.8500000000E+03,    0.4516094820E+04,
                 183,    18150.0000000000,                4178,    0.4178000000E-01,    0.9582200000E+00,    0.2028338604E+04,    0.4530852069E+03,    0.7500000000E+03,    0.4689042961E+04,
                 184,    18250.0000000000,                3936,    0.3936000000E-01,    0.9606400000E+00,    0.1968604146E+04,    0.4486609040E+03,    0.8000000000E+03,    0.3836836193E+04,
                 185,    18350.0000000000,                3642,    0.3642000000E-01,    0.9635800000E+00,    0.1894838708E+04,    0.4358938186E+03,    0.7000000000E+03,    0.3896662601E+04,
                 186,    18450.0000000000,                3322,    0.3322000000E-01,    0.9667800000E+00,    0.1841326655E+04,    0.4400271607E+03,    0.8500000000E+03,    0.4425839186E+04,
                 187,    18550.0000000000,                2972,    0.2972000000E-01,    0.9702800000E+00,    0.1776429115E+04,    0.4250481352E+03,    0.9281728029E+03,    0.3808140194E+04,
                 188,    18650.0000000000,                2487,    0.2487000000E-01,    0.9751300000E+00,    0.1704479832E+04,    0.4266779820E+03,    0.7500000000E+03,    0.4293884619E+04,
                 189,    18750.0000000000,                2211,    0.2211000000E-01,    0.9778900000E+00,    0.1647929829E+04,    0.4199293730E+03,    0.8240995271E+03,    0.3767738712E+04,
                 190,    18850.0000000000,                1648,    0.1648000000E-01,    0.9835200000E+00,    0.1565185302E+04,    0.3951435916E+03,    0.7734996760E+03,    0.3382427897E+04,
                 191,    18950.0000000000,                1285,    0.1285000000E-01,    0.9871500000E+00,    0.1507333028E+04,    0.4208389754E+03,    0.7549014435E+03,    0.4331397645E+04,
                 192,    19050.0000000000,                 846,    0.8460000000E-02,    0.9915400000E+00,    0.1446337403E+04,    0.4119908968E+03,    0.7585703482E+03,    0.3328570154E+04,
                 193,    19150.0000000000,                 543,    0.5430000000E-02,    0.9945700000E+00,    0.1355124769E+04,    0.3797194698E+03,    0.7015218758E+03,    0.2790808913E+04,
                 194,    19250.0000000000,                 291,    0.2910000000E-02,    0.9970900000E+00,    0.1302009891E+04,    0.3730594366E+03,    0.6355209038E+03,    0.2966153798E+04,
                 195,    19350.0000000000,                 127,    0.1270000000E-02,    0.9987300000E+00,    0.1226471012E+04,    0.3679498096E+03,    0.5268379793E+03,    0.2298696696E+04,
                 196,    19450.0000000000,                  51,    0.5100000000E-03,    0.9994900000E+00,    0.1160293173E+04,    0.4028498132E+03,    0.6122580950E+03,    0.2250895829E+04,
                 197,    19550.0000000000,                  16,    0.1600000000E-03,    0.9998400000E+00,    0.9695154289E+03,    0.3306722379E+03,    0.5183703497E+03,    0.1710228916E+04,
                 198,    19650.0000000000,                   3,    0.3000000000E-04,    0.9999700000E+00,    0.1055668284E+04,    0.1896974512E+03,    0.7965641957E+03,    0.1245440657E+04,

number of buckles,frequency,probability,cumulative probability,complementary cumulative probability,
                   0,                   0,    0.0000000000E+00,    0.0000000000E+00,    0.1000000000E+01,
                   1,                   0,    0.0000000000E+00,    0.0000000000E+00,    0.1000000000E+01,
                   2,                  41,    0.4100000000E-03,    0.4100000000E-03,    0.9995900000E+00,
                   3,                 714,    0.7140000000E-02,    0.7550000000E-02,    0.9924500000E+00,
                   4,                4285,    0.4285000000E-01,    0.5040000000E-01,    0.9496000000E+00,
                   5,               12180,    0.1218000000E+00,    0.1722000000E+00,    0.8278000000E+00,
                   6,               20490,    0.2049000000E+00,    0.3771000000E+00,    0.6229000000E+00,
                   7,               22122,    0.2212200000E+00,    0.5983200000E+00,    0.4016800000E+00,
                   8,               18007,    0.1800700000E+00,    0.7783900000E+00,    0.2216100000E+00,
                   9,               11389,    0.1138900000E+00,    0.8922800000E+00,    0.1077200000E+00,
                  10,                6191,    0.6191000000E-01,    0.9541900000E+00,    0.4581000000E-01,
                  11,                2853,    0.2853000000E-01,    0.9827200000E+00,    0.1728000000E-01,
                  12,                1128,    0.1128000000E-01,    0.9940000000E+00,    0.6000000000E-02,
                  13,                 404,    0.4040000000E-02,    0.9980400000E+00,    0.1960000000E-02,
                  14,                 141,    0.1410000000E-02,    0.9994500000E+00,    0.5500000000E-03,
                  15,                  45,    0.4500000000E-03,    0.9999000000E+00,    0.1000000000E-03,
                  16,                   6,    0.6000000000E-04,    0.9999600000E+00,    0.4000000000E-04,
                  17,                   3,    0.3000000000E-04,    0.9999900000E+00,    0.1000000000E-04,
                  18,                   0,    0.0000000000E+00,    0.9999900000E+00,    0.1000000000E-04,
                  19,                   1,    0.1000000000E-04,    0.1000000000E+01,    0.0000000000E+00,


*ELSET,




element set,,number of simulations with a buckle,probability of buckling,probability of not buckling,mean of the VAS,standard deviation of the VAS,minimum VAS,maximum VAS,probability of exceedance,conditional VAS,unconditional VAS,probability of exceedance,conditional VAS,unconditional VAS,
,,,,,(m),(m),(m),(m),,(m),(m),,(m),(m),
                   1,                    ,                1921,    0.1921000000E-01,    0.9807900000E+00,    0.1347666223E+04,    0.3936657876E+03,    0.6163097775E+03,    0.2836202488E+04,    0.1000000000E-01,    0.2500000000E+04,    0.1300000000E+04,    0.1000000000E+00,    0.1900000000E+04,    0.0000000000E+00,
                   2,                    ,               29753,    0.2975300000E+00,    0.7024700000E+00,    0.1869504690E+04,    0.4677225045E+03,    0.7000000000E+03,    0.4608744888E+04,    0.1000000000E-01,    0.3200000000E+04,    0.2900000000E+04,    0.1000000000E+00,    0.2550000000E+04,    0.2050000000E+04,
                   3,                    ,               42609,    0.4260900000E+00,    0.5739100000E+00,    0.2316073916E+04,    0.5448660026E+03,    0.7000000000E+03,    0.5291241982E+04,    0.1000000000E-01,    0.3850000000E+04,    0.3600000000E+04,    0.1000000000E+00,    0.3050000000E+04,    0.2700000000E+04,
                   4,                    ,               40815,    0.4081500000E+00,    0.5918500000E+00,    0.2483764295E+04,    0.7036677597E+03,    0.7000000000E+03,    0.6489082620E+04,    0.1000000000E-01,    0.4300000000E+04,    0.4000000000E+04,    0.1000000000E+00,    0.3400000000E+04,    0.3000000000E+04,
                   5,                    ,               40511,    0.4051100000E+00,    0.5948900000E+00,    0.2478561866E+04,    0.7761612120E+03,    0.7000000000E+03,    0.7558829441E+04,    0.1000000000E-01,    0.4650000000E+04,    0.4250000000E+04,    0.1000000000E+00,    0.3600000000E+04,    0.3000000000E+04,
                   6,                    ,               40706,    0.4070600000E+00,    0.5929400000E+00,    0.2467397277E+04,    0.7723795609E+03,    0.7500000000E+03,    0.6574533531E+04,    0.1000000000E-01,    0.4800000000E+04,    0.4350000000E+04,    0.1000000000E+00,    0.3550000000E+04,    0.2950000000E+04,
                   7,                    ,               40568,    0.4056800000E+00,    0.5943200000E+00,    0.2453092004E+04,    0.7525546190E+03,    0.6500000000E+03,    0.7573000321E+04,    0.1000000000E-01,    0.4700000000E+04,    0.4250000000E+04,    0.1000000000E+00,    0.3500000000E+04,    0.2950000000E+04,
                   8,                    ,               40670,    0.4067000000E+00,    0.5933000000E+00,    0.2454102532E+04,    0.7534938657E+03,    0.7500000000E+03,    0.8014921604E+04,    0.1000000000E-01,    0.4700000000E+04,    0.4250000000E+04,    0.1000000000E+00,    0.3500000000E+04,    0.2950000000E+04,
                   9,                    ,               40716,    0.4071600000E+00,    0.5928400000E+00,    0.2458036997E+04,    0.7503802165E+03,    0.7000000000E+03,    0.6900000000E+04,    0.1000000000E-01,    0.4650000000E+04,    0.4250000000E+04,    0.1000000000E+00,    0.3500000000E+04,    0.2950000000E+04,
                  10,                    ,               40765,    0.4076500000E+00,    0.5923500000E+00,    0.2455978640E+04,    0.7551497023E+03,    0.7000000000E+03,    0.7100000000E+04,    0.1000000000E-01,    0.4700000000E+04,    0.4250000000E+04,    0.1000000000E+00,    0.3500000000E+04,    0.2950000000E+04,
                  11,                    ,               40509,    0.4050900000E+00,    0.5949100000E+00,    0.2457917345E+04,    0.7576048416E+03,    0.7000000000E+03,    0.7860904342E+04,    0.1000000000E-01,    0.4700000000E+04,    0.4250000000E+04,    0.1000000000E+00,    0.3500000000E+04,    0.2950000000E+04,
                  12,                    ,               40709,    0.4070900000E+00,    0.5929100000E+00,    0.2460425424E+04,    0.7578628421E+03,    0.7000000000E+03,    0.7804174729E+04,    0.1000000000E-01,    0.4700000000E+04,    0.4250000000E+04,    0.1000000000E+00,    0.3500000000E+04,    0.2950000000E+04,
                  13,                    ,               40655,    0.4065500000E+00,    0.5934500000E+00,    0.2456740139E+04,    0.7553403879E+03,    0.7000000000E+03,    0.7503554326E+04,    0.1000000000E-01,    0.4700000000E+04,    0.4250000000E+04,    0.1000000000E+00,    0.3500000000E+04,    0.2950000000E+04,
                  14,                    ,               40589,    0.4058900000E+00,    0.5941100000E+00,    0.2453540654E+04,    0.7540023969E+03,    0.6500000000E+03,    0.7434317582E+04,    0.1000000000E-01,    0.4700000000E+04,    0.4250000000E+04,    0.1000000000E+00,    0.3500000000E+04,    0.2950000000E+04,
                  15,                    ,               40908,    0.4090800000E+00,    0.5909200000E+00,    0.2458325904E+04,    0.7681237592E+03,    0.7000000000E+03,    0.6799789292E+04,    0.1000000000E-01,    0.4800000000E+04,    0.4300000000E+04,    0.1000000000E+00,    0.3550000000E+04,    0.2950000000E+04,
                  16,                    ,               40517,    0.4051700000E+00,    0.5948300000E+00,    0.2471426913E+04,    0.7725490001E+03,    0.7000000000E+03,    0.7608829441E+04,    0.1000000000E-01,    0.4650000000E+04,    0.4250000000E+04,    0.1000000000E+00,    0.3550000000E+04,    0.3000000000E+04,
                  17,                    ,               40719,    0.4071900000E+00,    0.5928100000E+00,    0.2479500437E+04,    0.7090021611E+03,    0.7000000000E+03,    0.6304262630E+04,    0.1000000000E-01,    0.4300000000E+04,    0.4000000000E+04,    0.1000000000E+00,    0.3450000000E+04,    0.3000000000E+04,
                  18,                    ,               42848,    0.4284800000E+00,    0.5715200000E+00,    0.2317079940E+04,    0.5491267560E+03,    0.7500000000E+03,    0.5258562650E+04,    0.1000000000E-01,    0.3850000000E+04,    0.3600000000E+04,    0.1000000000E+00,    0.3050000000E+04,    0.2700000000E+04,
